A,1 B,2 C,3 D,4 E,5
4QAM 1 104.16 7830 A 1
4QAM 2 416.64 426 A+C 10
4QAM 3 520.80 7578 A+D 17
4QAM 4 624.96 7554 A+E 26
4QAM 5 624.96 306 B+D 20
4QAM 6 729.12 7248 B+E 29
4QAM 7 833.28 228 C+E 34
4QAM 8 937.44 186 A+C+E 35
16QAM 1 208.32 1686 A 1
16QAM 2 833.28 84 A+C 10
16QAM 3 1041.60 1434 A+D 17
16QAM 4 1249.92 1416 A+E 26
16QAM 5 1249.92 42 B+D 20
16QAM 6 1458.24 640 B+E 29
16QAM 7 1666.56 12 C+E 34
16QAM 8 1874.88 6 A+C+E 35
64QAM 1 312.48 426 A 1
64QAM 2 1249.92 12 A+C 10
64QAM 3 1562.40 174 A+D 17
64QAM 4 1874.88 156 A+E 26
